Gene stable ID	HGNC symbol	Gene name
ENSG00000276212	KIR3DP1	NA
ENSG00000278207	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000276044	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000276099	LILRP1	NA
ENSG00000281738	LINC01839	NA
ENSG00000274243	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5
ENSG00000273578	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000281250	LINC02054	long intergenic non-protein coding RNA 2054
ENSG00000278414	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
ENSG00000278786	KIR3DP1	NA
ENSG00000275035	CCDC92	coiled-coil domain containing 92
ENSG00000274639	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000276498	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1
ENSG00000274948	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000278051	KIR3DP1	NA
ENSG00000274724	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000278850	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000277835	KIR3DP1	NA
ENSG00000276035	KIR3DP1	NA
ENSG00000275521	NCR1	natural cytotoxicity triggering receptor 1
ENSG00000276001	LILRP1	NA
ENSG00000277964	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000276985	FCAR	Fc fragment of IgA receptor
ENSG00000276423	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000278710	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000278625	NA	NA
ENSG00000262025	NA	NA
ENSG00000263275	NA	NA
ENSG00000273510	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000262299	NA	immunoglobulin superfamily DCC subclass member 3 pseudogene
ENSG00000281954	NA	NA
ENSG00000262767	GEMIN2P1	NA
ENSG00000275848	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000277551	NA	NA
ENSG00000275245	NA	NA
ENSG00000261992	GATAD2B	GATA zinc finger domain containing 2B
ENSG00000276154	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000278755	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000274545	LILRP1	NA
ENSG00000275225	NA	NA
ENSG00000278490	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000278856	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000277267	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000276534	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1
ENSG00000262647	OR9G4	olfactory receptor family 9 subfamily G member 4
ENSG00000281107	OR5G3	NA
ENSG00000263130	NA	NA
ENSG00000277078	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000262268	OR9G3P	NA
ENSG00000281313	OR5G1P	NA
ENSG00000263163	SLC27A3	solute carrier family 27 member 3
ENSG00000274830	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000275659	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000277725	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000281279	OR5G4P	NA
ENSG00000262535	OR5G5P	NA
ENSG00000274722	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000276590	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000276004	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000276197	NA	NA
ENSG00000273502	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000274917	RNA5-8SN5	RNA, 5.8S ribosomal N5
ENSG00000273730	NA	NA
ENSG00000273937	NA	NA
ENSG00000275750	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000273526	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000281777	OR9G2P	NA
ENSG00000278758	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000261958	OR9G1	olfactory receptor family 9 subfamily G member 1
ENSG00000277076	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000275433	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000273522	KIR2DP1	NA
ENSG00000281683	NA	NA
ENSG00000262191	OR9G9	olfactory receptor family 9 subfamily G member 9
ENSG00000278726	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000281839	LINC02735	long intergenic non-protein coding RNA 2735
ENSG00000273738	FCAR	Fc fragment of IgA receptor
ENSG00000278345	NA	NA
ENSG00000276806	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000282469	LINC00254	long intergenic non-protein coding RNA 254
ENSG00000275080	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000276333	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6
ENSG00000282650	MEIOB	meiosis specific with OB-fold
ENSG00000282069	LINC02124	long intergenic non-protein coding RNA 2124
ENSG00000280271	NA	NA
ENSG00000279566	ZNF43	zinc finger protein 43
ENSG00000277650	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5
ENSG00000279614	NA	NA
ENSG00000278329	KIR2DP1	NA
ENSG00000276218	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000273661	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000274746	ZNF100	zinc finger protein 100
ENSG00000274108	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000278442	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000277362	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000274271	LILRP1	NA
ENSG00000274676	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ENSG00000277356	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000262994	NA	NA
ENSG00000275289	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000269823	NA	NA
ENSG00000279280	CCNYL6	cyclin Y like 6 (pseudogene)
ENSG00000276999	NA	NA
ENSG00000262710	NA	NA
ENSG00000279112	BRI3BPP1	cyclin Y like 6 (pseudogene)
ENSG00000262469	NA	NA
ENSG00000276295	NA	NA
ENSG00000267728	NA	keratin associated protein 9-9
ENSG00000275531	NA	NA
ENSG00000280218	VN1R84P	NA
ENSG00000273881	LILRP1	NA
ENSG00000275815	KIR2DP1	NA
ENSG00000280066	MTDHP4	NA
ENSG00000277940	NA	NA
ENSG00000278369	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000278327	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000263090	KRTAP9-2	keratin associated protein 9-2
ENSG00000262512	KRTAP9-4	keratin associated protein 9-4
ENSG00000273887	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000262749	KRTAP9-3	keratin associated protein 9-3
ENSG00000263103	KRTAP9-10P	NA
ENSG00000274480	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000267635	NA	keratin associated protein 9-6
ENSG00000276450	NCR1	natural cytotoxicity triggering receptor 1
ENSG00000267208	NA	NA
ENSG00000262573	KRTAP9-2	keratin associated protein 9-2
ENSG00000275136	FCAR	Fc fragment of IgA receptor
ENSG00000263115	KRTAP9-10P	NA
ENSG00000262218	KRTAP29-1	keratin associated like protein 29-1
ENSG00000262896	KRTAP9-4	keratin associated protein 9-4
ENSG00000275436	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
ENSG00000263263	KRTAP9-6	keratin associated protein 9-6
ENSG00000275970	FCAR	Fc fragment of IgA receptor
ENSG00000262221	KRTAP9-7	keratin associated protein 9-7
ENSG00000274193	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000274708	NA	NA
ENSG00000262542	KRTAP29-1	keratin associated like protein 29-1
ENSG00000262214	KRTAP9-12P	NA
ENSG00000262946	KRTAP9-11P	NA
ENSG00000275795	NA	NA
ENSG00000262594	KRTAP9-9	keratin associated protein 9-9
ENSG00000275937	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
ENSG00000274707	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
ENSG00000277963	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000277885	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000276011	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000273929	NA	NA
ENSG00000274556	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000277552	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000277750	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000274788	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000275452	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000274912	KIR2DP1	NA
ENSG00000276395	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000278474	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000276310	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000274786	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000274920	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000263057	KRT20	keratin 20
ENSG00000273794	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000275456	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000278025	NCR1	natural cytotoxicity triggering receptor 1
ENSG00000262068	KRTAP3-1	keratin associated protein 3-1
ENSG00000275887	KIR3DP1	NA
ENSG00000263296	KRTAP3-2	keratin associated protein 3-2
ENSG00000275546	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000262121	KRTAP4-9	keratin associated protein 4-9
ENSG00000263091	KRTAP2-4	keratin associated protein 2-4
ENSG00000264450	NA	NA
ENSG00000263309	KRT23	keratin 23
ENSG00000278339	KIR2DP1	NA
ENSG00000275051	PIWIL1	piwi like RNA-mediated gene silencing 1
ENSG00000278079	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000274465	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1
ENSG00000276808	NA	NA
ENSG00000278190	NA	NA
ENSG00000274947	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000276243	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000276465	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000281020	SNTG2	syntrophin gamma 2
ENSG00000274082	NA	NA
ENSG00000277392	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000275168	NA	NA
ENSG00000281775	FTCD	formimidoyltransferase cyclodeaminase
ENSG00000277603	TPO	thyroid peroxidase
ENSG00000278573	NA	NA
ENSG00000276209	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000277196	NA	proline dehydrogenase 1, mitochondrial
ENSG00000278288	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000278656	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000273517	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1
ENSG00000277596	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000274610	KIR3DP1	NA
ENSG00000275059	NA	NA
ENSG00000276324	NA	NA
ENSG00000277240	LILRP1	NA
ENSG00000282534	IMPDH1P5	NA
ENSG00000273955	KIR2DP1	NA
ENSG00000274563	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5
ENSG00000275269	FCAR	Fc fragment of IgA receptor
ENSG00000275021	NA	NA
ENSG00000274429	DLG5	discs large MAGUK scaffold protein 5
ENSG00000276552	NA	NA
ENSG00000278411	NA	NA
ENSG00000278833	NA	NA
ENSG00000262845	KRT40	keratin 40
ENSG00000275629	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000277850	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000278368	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000281753	NA	NA
ENSG00000280541	FTCD-AS1	FTCD antisense RNA 1
ENSG00000281289	LSS	lanosterol synthase
ENSG00000278817	NA	protein DGCR6
ENSG00000276017	NA	NA
ENSG00000280830	ADI1	acireductone dioxygenase 1
ENSG00000262808	KRTAP1-1	keratin associated protein 1-1
ENSG00000274891	TRAPPC12	trafficking protein particle complex subunit 12
ENSG00000262731	NA	keratin associated protein 2-2
ENSG00000276882	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000263229	KRTAP4-11	keratin associated protein 4-11
ENSG00000262487	NA	NA
ENSG00000262376	KRTAP2-5P	NA
ENSG00000262347	KRTAP1-3	keratin associated protein 1-3
ENSG00000262520	KRTAP4-16	NA
ENSG00000263243	KRT12	keratin 12
ENSG00000274771	NA	NA
ENSG00000261862	KRTAP1-5	keratin associated protein 1-5
ENSG00000280770	NA	NA
ENSG00000281723	NA	NA
ENSG00000262164	KRT39	keratin 39
ENSG00000262616	KRTAP3-4P	NA
ENSG00000261852	KRTAP2-1	keratin associated protein 2-1
ENSG00000263101	KRTAP3-3	keratin associated protein 3-3
ENSG00000262862	KRTAP2-3	keratin associated protein 2-3
ENSG00000263236	KRTAP4-12	keratin associated protein 4-12
ENSG00000263242	KRTAP1-4	keratin associated protein 1-4
ENSG00000277028	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000266286	NA	keratin-associated protein 4-7
ENSG00000261968	NA	keratin associated protein 4-8
ENSG00000281062	NA	NA
ENSG00000282480	NA	NA
ENSG00000282766	NA	NA
ENSG00000282329	MREGP1	NA
ENSG00000277560	KIR3DP1	NA
ENSG00000281496	NA	NA
ENSG00000275428	NA	NA
ENSG00000275416	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000281617	ANKRD18DP	ankyrin repeat domain 18D, pseudogene
ENSG00000274679	SPATC1L	spermatogenesis and centriole associated 1 like
ENSG00000275353	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000273752	NA	NA
ENSG00000278116	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ENSG00000275500	NA	killer cell immunoglobulin-like receptor 2DS3-like
ENSG00000276938	NA	NA
ENSG00000277442	NCR1	natural cytotoxicity triggering receptor 1
ENSG00000276327	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1
ENSG00000267237	NA	NA
ENSG00000281577	NA	NA
ENSG00000267639	NA	NA
ENSG00000274597	NA	NA
ENSG00000281503	NA	NA
ENSG00000282391	NA	NA
ENSG00000274706	RNU6-821P	NA
ENSG00000278809	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000278747	NA	NA
ENSG00000278495	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000276371	SINHCAF	SIN3-HDAC complex associated factor
ENSG00000281232	NA	NA
ENSG00000277921	LILRP1	NA
ENSG00000277554	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000278074	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
